序号,母选题ID,母选题,来源,内容类型,栏目系列,选题方向/核心观点,关联热点链接/帖子,创建时间,是否选题,分数
1,,从官方客户案例看 Agentic OS 的真实落地场景,huashu-info-search / hv-analysis,企业案例,企业 AI 案例,官方客户案例虽然慢，但最接近可验证的企业需求，适合提炼销售材料和老板视角内容。,"https://www.youtube.com/results?search_query=%E4%BB%8E%E5%AE%98%E6%96%B9%E5%AE%A2%E6%88%B7%E6%A1%88%E4%BE%8B%E7%9C%8B%20Agentic%20OS%20%E7%9A%84%E7%9C%9F%E5%AE%9E%E8%90%BD%E5%9C%B0%E5%9C%BA%E6%99%AF%20interview
https://www.youtube.com/results?search_query=%E4%BB%8E%E5%AE%98%E6%96%B9%E5%AE%A2%E6%88%B7%E6%A1%88%E4%BE%8B%E7%9C%8B%20Agentic%20OS%20%E7%9A%84%E7%9C%9F%E5%AE%9E%E8%90%BD%E5%9C%B0%E5%9C%BA%E6%99%AF%20AI%20agent%20enterprise
https://www.google.com/search?q=%E4%BB%8E%E5%AE%98%E6%96%B9%E5%AE%A2%E6%88%B7%E6%A1%88%E4%BE%8B%E7%9C%8B%20Agentic%20OS%20%E7%9A%84%E7%9C%9F%E5%AE%9E%E8%90%BD%E5%9C%B0%E5%9C%BA%E6%99%AF%20%E4%BC%81%E4%B8%9A%20AI%20%E6%A1%88%E4%BE%8B
https://www.google.com/search?q=%E4%BB%8E%E5%AE%98%E6%96%B9%E5%AE%A2%E6%88%B7%E6%A1%88%E4%BE%8B%E7%9C%8B%20Agentic%20OS%20%E7%9A%84%E7%9C%9F%E5%AE%9E%E8%90%BD%E5%9C%B0%E5%9C%BA%E6%99%AF%20%E5%AE%98%E6%96%B9%20%E5%AE%A2%E6%88%B7%20%E6%A1%88%E4%BE%8B
https://scholar.google.com/scholar?q=%E4%BB%8E%E5%AE%98%E6%96%B9%E5%AE%A2%E6%88%B7%E6%A1%88%E4%BE%8B%E7%9C%8B%20Agentic%20OS%20%E7%9A%84%E7%9C%9F%E5%AE%9E%E8%90%BD%E5%9C%B0%E5%9C%BA%E6%99%AF%20agent%20workflow
https://scholar.google.com/scholar?q=%E4%BB%8E%E5%AE%98%E6%96%B9%E5%AE%A2%E6%88%B7%E6%A1%88%E4%BE%8B%E7%9C%8B%20Agentic%20OS%20%E7%9A%84%E7%9C%9F%E5%AE%9E%E8%90%BD%E5%9C%B0%E5%9C%BA%E6%99%AF%20reasoning%20memory%20tools",2026-06-15,TRUE,31.9
2,,企业 AI 落地为什么常卡在证据、权限和流程，而不是模型能力,huashu-research / hv-analysis,行业洞察,企业 AI 案例,模型能力提升很快，但企业落地的瓶颈更像组织工程：谁授权、谁验收、谁承担错误成本。,"https://www.youtube.com/results?search_query=%E4%BC%81%E4%B8%9A%20AI%20%E8%90%BD%E5%9C%B0%E4%B8%BA%E4%BB%80%E4%B9%88%E5%B8%B8%E5%8D%A1%E5%9C%A8%E8%AF%81%E6%8D%AE%E3%80%81%E6%9D%83%E9%99%90%E5%92%8C%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%A8%A1%E5%9E%8B%E8%83%BD%E5%8A%9B%20interview
https://www.youtube.com/results?search_query=%E4%BC%81%E4%B8%9A%20AI%20%E8%90%BD%E5%9C%B0%E4%B8%BA%E4%BB%80%E4%B9%88%E5%B8%B8%E5%8D%A1%E5%9C%A8%E8%AF%81%E6%8D%AE%E3%80%81%E6%9D%83%E9%99%90%E5%92%8C%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%A8%A1%E5%9E%8B%E8%83%BD%E5%8A%9B%20AI%20agent%20enterprise
https://www.google.com/search?q=%E4%BC%81%E4%B8%9A%20AI%20%E8%90%BD%E5%9C%B0%E4%B8%BA%E4%BB%80%E4%B9%88%E5%B8%B8%E5%8D%A1%E5%9C%A8%E8%AF%81%E6%8D%AE%E3%80%81%E6%9D%83%E9%99%90%E5%92%8C%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%A8%A1%E5%9E%8B%E8%83%BD%E5%8A%9B%20%E4%BC%81%E4%B8%9A%20AI%20%E6%A1%88%E4%BE%8B
https://www.google.com/search?q=%E4%BC%81%E4%B8%9A%20AI%20%E8%90%BD%E5%9C%B0%E4%B8%BA%E4%BB%80%E4%B9%88%E5%B8%B8%E5%8D%A1%E5%9C%A8%E8%AF%81%E6%8D%AE%E3%80%81%E6%9D%83%E9%99%90%E5%92%8C%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%A8%A1%E5%9E%8B%E8%83%BD%E5%8A%9B%20%E5%AE%98%E6%96%B9%20%E5%AE%A2%E6%88%B7%20%E6%A1%88%E4%BE%8B
https://scholar.google.com/scholar?q=%E4%BC%81%E4%B8%9A%20AI%20%E8%90%BD%E5%9C%B0%E4%B8%BA%E4%BB%80%E4%B9%88%E5%B8%B8%E5%8D%A1%E5%9C%A8%E8%AF%81%E6%8D%AE%E3%80%81%E6%9D%83%E9%99%90%E5%92%8C%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%A8%A1%E5%9E%8B%E8%83%BD%E5%8A%9B%20agent%20workflow
https://scholar.google.com/scholar?q=%E4%BC%81%E4%B8%9A%20AI%20%E8%90%BD%E5%9C%B0%E4%B8%BA%E4%BB%80%E4%B9%88%E5%B8%B8%E5%8D%A1%E5%9C%A8%E8%AF%81%E6%8D%AE%E3%80%81%E6%9D%83%E9%99%90%E5%92%8C%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%A8%A1%E5%9E%8B%E8%83%BD%E5%8A%9B%20reasoning%20memory%20tools",2026-06-15,TRUE,30.7
3,,企业 AI Agent 从演示走向真实流程，老板到底该看什么,hv-analysis / follow-builders / aihot,行业洞察,AI 产品观察,真正值得跟踪的不是模型参数，而是 Agent 能否进入权限、流程、责任和 ROI 可验证的业务闭环。,"https://www.google.com/search?q=%E4%BC%81%E4%B8%9A%20AI%20Agent%20%E4%BB%8E%E6%BC%94%E7%A4%BA%E8%B5%B0%E5%90%91%E7%9C%9F%E5%AE%9E%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%81%E6%9D%BF%E5%88%B0%E5%BA%95%E8%AF%A5%E7%9C%8B%E4%BB%80%E4%B9%88%20hv-analysis%20follow-builders%20AI%20after%3A2026-05-10&tbs=qdr:m
https://news.google.com/search?q=%E4%BC%81%E4%B8%9A%20AI%20Agent%20%E4%BB%8E%E6%BC%94%E7%A4%BA%E8%B5%B0%E5%90%91%E7%9C%9F%E5%AE%9E%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%81%E6%9D%BF%E5%88%B0%E5%BA%95%E8%AF%A5%E7%9C%8B%E4%BB%80%E4%B9%88%20hv-analysis%20follow-builders%20AI%20when%3A45d&hl=zh-CN&gl=CN&ceid=CN%3Azh-Hans
https://www.youtube.com/results?search_query=%E4%BC%81%E4%B8%9A%20AI%20Agent%20%E4%BB%8E%E6%BC%94%E7%A4%BA%E8%B5%B0%E5%90%91%E7%9C%9F%E5%AE%9E%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%81%E6%9D%BF%E5%88%B0%E5%BA%95%E8%AF%A5%E7%9C%8B%E4%BB%80%E4%B9%88%20hv-analysis%20follow-builders%20AI
https://hn.algolia.com/?dateRange=pastMonth&page=0&prefix=false&query=%E4%BC%81%E4%B8%9A%20AI%20Agent%20%E4%BB%8E%E6%BC%94%E7%A4%BA%E8%B5%B0%E5%90%91%E7%9C%9F%E5%AE%9E%E6%B5%81%E7%A8%8B%EF%BC%8C%E8%80%81%E6%9D%BF%E5%88%B0%E5%BA%95%E8%AF%A5%E7%9C%8B%E4%BB%80%E4%B9%88%20hv-analysis%20follow-builders%20AI&sort=byDate&type=story",2026-06-15,,
4,,内容团队如何建立自己的 AI 选题雷达，而不是每天追热点,aihot / tech-news-digest / huashu-topic-gen,利他（教程）,AI 工具教程,选题系统应该把信号、证据、方向、反馈沉淀成资产，而不是靠临时灵感和二手资讯。,"https://www.google.com/search?q=%E5%86%85%E5%AE%B9%E5%9B%A2%E9%98%9F%E5%A6%82%E4%BD%95%E5%BB%BA%E7%AB%8B%E8%87%AA%E5%B7%B1%E7%9A%84%20AI%20%E9%80%89%E9%A2%98%E9%9B%B7%E8%BE%BE%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%AF%8F%E5%A4%A9%E8%BF%BD%E7%83%AD%E7%82%B9%20aihot%20tech-news-digest%20AI%20after%3A2026-05-10&tbs=qdr:m
https://news.google.com/search?q=%E5%86%85%E5%AE%B9%E5%9B%A2%E9%98%9F%E5%A6%82%E4%BD%95%E5%BB%BA%E7%AB%8B%E8%87%AA%E5%B7%B1%E7%9A%84%20AI%20%E9%80%89%E9%A2%98%E9%9B%B7%E8%BE%BE%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%AF%8F%E5%A4%A9%E8%BF%BD%E7%83%AD%E7%82%B9%20aihot%20tech-news-digest%20AI%20when%3A45d&hl=zh-CN&gl=CN&ceid=CN%3Azh-Hans
https://www.youtube.com/results?search_query=%E5%86%85%E5%AE%B9%E5%9B%A2%E9%98%9F%E5%A6%82%E4%BD%95%E5%BB%BA%E7%AB%8B%E8%87%AA%E5%B7%B1%E7%9A%84%20AI%20%E9%80%89%E9%A2%98%E9%9B%B7%E8%BE%BE%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%AF%8F%E5%A4%A9%E8%BF%BD%E7%83%AD%E7%82%B9%20aihot%20tech-news-digest%20AI
https://hn.algolia.com/?dateRange=pastMonth&page=0&prefix=false&query=%E5%86%85%E5%AE%B9%E5%9B%A2%E9%98%9F%E5%A6%82%E4%BD%95%E5%BB%BA%E7%AB%8B%E8%87%AA%E5%B7%B1%E7%9A%84%20AI%20%E9%80%89%E9%A2%98%E9%9B%B7%E8%BE%BE%EF%BC%8C%E8%80%8C%E4%B8%8D%E6%98%AF%E6%AF%8F%E5%A4%A9%E8%BF%BD%E7%83%AD%E7%82%B9%20aihot%20tech-news-digest%20AI&sort=byDate&type=story",2026-06-15,TRUE,
5,,把视频、播客和文章素材沉淀成可复用内容资产的方法,huashu-research / huashu-material-search / ljg-think,利他（教程）,AI 工具教程,资料收集不是复制链接，而是建立来源分级、证据地图和后续可引用的知识库。,"https://www.google.com/search?q=%E6%8A%8A%E8%A7%86%E9%A2%91%E3%80%81%E6%92%AD%E5%AE%A2%E5%92%8C%E6%96%87%E7%AB%A0%E7%B4%A0%E6%9D%90%E6%B2%89%E6%B7%80%E6%88%90%E5%8F%AF%E5%A4%8D%E7%94%A8%E5%86%85%E5%AE%B9%E8%B5%84%E4%BA%A7%E7%9A%84%E6%96%B9%E6%B3%95%20huashu-research%20huashu-material-search%20AI%20after%3A2026-05-10&tbs=qdr:m
https://news.google.com/search?q=%E6%8A%8A%E8%A7%86%E9%A2%91%E3%80%81%E6%92%AD%E5%AE%A2%E5%92%8C%E6%96%87%E7%AB%A0%E7%B4%A0%E6%9D%90%E6%B2%89%E6%B7%80%E6%88%90%E5%8F%AF%E5%A4%8D%E7%94%A8%E5%86%85%E5%AE%B9%E8%B5%84%E4%BA%A7%E7%9A%84%E6%96%B9%E6%B3%95%20huashu-research%20huashu-material-search%20AI%20when%3A45d&hl=zh-CN&gl=CN&ceid=CN%3Azh-Hans
https://www.youtube.com/results?search_query=%E6%8A%8A%E8%A7%86%E9%A2%91%E3%80%81%E6%92%AD%E5%AE%A2%E5%92%8C%E6%96%87%E7%AB%A0%E7%B4%A0%E6%9D%90%E6%B2%89%E6%B7%80%E6%88%90%E5%8F%AF%E5%A4%8D%E7%94%A8%E5%86%85%E5%AE%B9%E8%B5%84%E4%BA%A7%E7%9A%84%E6%96%B9%E6%B3%95%20huashu-research%20huashu-material-search%20AI
https://hn.algolia.com/?dateRange=pastMonth&page=0&prefix=false&query=%E6%8A%8A%E8%A7%86%E9%A2%91%E3%80%81%E6%92%AD%E5%AE%A2%E5%92%8C%E6%96%87%E7%AB%A0%E7%B4%A0%E6%9D%90%E6%B2%89%E6%B7%80%E6%88%90%E5%8F%AF%E5%A4%8D%E7%94%A8%E5%86%85%E5%AE%B9%E8%B5%84%E4%BA%A7%E7%9A%84%E6%96%B9%E6%B3%95%20huashu-research%20huashu-material-search%20AI&sort=byDate&type=story",2026-06-15,,
6,,为什么 Builder 的一手观点比二手资讯更适合做深度选题,follow-builders / tech-news-digest,行业洞察,行业洞察,一手观点往往带着真实约束、取舍和路线判断，比转述新闻更容易生成有穿透力的内容。,"https://www.google.com/search?q=%E4%B8%BA%E4%BB%80%E4%B9%88%20Builder%20%E7%9A%84%E4%B8%80%E6%89%8B%E8%A7%82%E7%82%B9%E6%AF%94%E4%BA%8C%E6%89%8B%E8%B5%84%E8%AE%AF%E6%9B%B4%E9%80%82%E5%90%88%E5%81%9A%E6%B7%B1%E5%BA%A6%E9%80%89%E9%A2%98%20follow-builders%20tech-news-digest%20AI%20after%3A2026-05-10&tbs=qdr:m
https://news.google.com/search?q=%E4%B8%BA%E4%BB%80%E4%B9%88%20Builder%20%E7%9A%84%E4%B8%80%E6%89%8B%E8%A7%82%E7%82%B9%E6%AF%94%E4%BA%8C%E6%89%8B%E8%B5%84%E8%AE%AF%E6%9B%B4%E9%80%82%E5%90%88%E5%81%9A%E6%B7%B1%E5%BA%A6%E9%80%89%E9%A2%98%20follow-builders%20tech-news-digest%20AI%20when%3A45d&hl=zh-CN&gl=CN&ceid=CN%3Azh-Hans
https://www.youtube.com/results?search_query=%E4%B8%BA%E4%BB%80%E4%B9%88%20Builder%20%E7%9A%84%E4%B8%80%E6%89%8B%E8%A7%82%E7%82%B9%E6%AF%94%E4%BA%8C%E6%89%8B%E8%B5%84%E8%AE%AF%E6%9B%B4%E9%80%82%E5%90%88%E5%81%9A%E6%B7%B1%E5%BA%A6%E9%80%89%E9%A2%98%20follow-builders%20tech-news-digest%20AI
https://hn.algolia.com/?dateRange=pastMonth&page=0&prefix=false&query=%E4%B8%BA%E4%BB%80%E4%B9%88%20Builder%20%E7%9A%84%E4%B8%80%E6%89%8B%E8%A7%82%E7%82%B9%E6%AF%94%E4%BA%8C%E6%89%8B%E8%B5%84%E8%AE%AF%E6%9B%B4%E9%80%82%E5%90%88%E5%81%9A%E6%B7%B1%E5%BA%A6%E9%80%89%E9%A2%98%20follow-builders%20tech-news-digest%20AI&sort=byDate&type=story",2026-06-15,,29.0
7,,AI 论文里的记忆、推理和工具调用，哪些会真正影响业务,ljg-paper / ljg-paper-river / aihot,利他（信息差）,AI 论文研究,论文不应只被当新闻看，而要翻译成业务问题：成本、可靠性、上下文、任务边界和可控性。,"https://www.google.com/search?q=AI%20%E8%AE%BA%E6%96%87%E9%87%8C%E7%9A%84%E8%AE%B0%E5%BF%86%E3%80%81%E6%8E%A8%E7%90%86%E5%92%8C%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8%EF%BC%8C%E5%93%AA%E4%BA%9B%E4%BC%9A%E7%9C%9F%E6%AD%A3%E5%BD%B1%E5%93%8D%E4%B8%9A%E5%8A%A1%20ljg-paper%20ljg-paper-river%20AI%20after%3A2026-05-10&tbs=qdr:m
https://news.google.com/search?q=AI%20%E8%AE%BA%E6%96%87%E9%87%8C%E7%9A%84%E8%AE%B0%E5%BF%86%E3%80%81%E6%8E%A8%E7%90%86%E5%92%8C%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8%EF%BC%8C%E5%93%AA%E4%BA%9B%E4%BC%9A%E7%9C%9F%E6%AD%A3%E5%BD%B1%E5%93%8D%E4%B8%9A%E5%8A%A1%20ljg-paper%20ljg-paper-river%20AI%20when%3A45d&hl=zh-CN&gl=CN&ceid=CN%3Azh-Hans
https://www.youtube.com/results?search_query=AI%20%E8%AE%BA%E6%96%87%E9%87%8C%E7%9A%84%E8%AE%B0%E5%BF%86%E3%80%81%E6%8E%A8%E7%90%86%E5%92%8C%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8%EF%BC%8C%E5%93%AA%E4%BA%9B%E4%BC%9A%E7%9C%9F%E6%AD%A3%E5%BD%B1%E5%93%8D%E4%B8%9A%E5%8A%A1%20ljg-paper%20ljg-paper-river%20AI
https://hn.algolia.com/?dateRange=pastMonth&page=0&prefix=false&query=AI%20%E8%AE%BA%E6%96%87%E9%87%8C%E7%9A%84%E8%AE%B0%E5%BF%86%E3%80%81%E6%8E%A8%E7%90%86%E5%92%8C%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8%EF%BC%8C%E5%93%AA%E4%BA%9B%E4%BC%9A%E7%9C%9F%E6%AD%A3%E5%BD%B1%E5%93%8D%E4%B8%9A%E5%8A%A1%20ljg-paper%20ljg-paper-river%20AI&sort=byDate&type=story",2026-06-15,,
8,,Claude Code、Codex 类编程 Agent 正在改写知识工作自动化,khazix-writer / huashu-wechat-creation / follow-builders,利他（信息差）,AI 工具教程,编程 Agent 的价值不只在写代码，而在把需求、调研、测试、文档和交付变成一条可复用流水线。,"https://www.google.com/search?q=Claude%20Code%E3%80%81Codex%20%E7%B1%BB%E7%BC%96%E7%A8%8B%20Agent%20%E6%AD%A3%E5%9C%A8%E6%94%B9%E5%86%99%E7%9F%A5%E8%AF%86%E5%B7%A5%E4%BD%9C%E8%87%AA%E5%8A%A8%E5%8C%96%20khazix-writer%20huashu-wechat-creation%20AI%20after%3A2026-05-10&tbs=qdr:m
https://news.google.com/search?q=Claude%20Code%E3%80%81Codex%20%E7%B1%BB%E7%BC%96%E7%A8%8B%20Agent%20%E6%AD%A3%E5%9C%A8%E6%94%B9%E5%86%99%E7%9F%A5%E8%AF%86%E5%B7%A5%E4%BD%9C%E8%87%AA%E5%8A%A8%E5%8C%96%20khazix-writer%20huashu-wechat-creation%20AI%20when%3A45d&hl=zh-CN&gl=CN&ceid=CN%3Azh-Hans
https://www.youtube.com/results?search_query=Claude%20Code%E3%80%81Codex%20%E7%B1%BB%E7%BC%96%E7%A8%8B%20Agent%20%E6%AD%A3%E5%9C%A8%E6%94%B9%E5%86%99%E7%9F%A5%E8%AF%86%E5%B7%A5%E4%BD%9C%E8%87%AA%E5%8A%A8%E5%8C%96%20khazix-writer%20huashu-wechat-creation%20AI
https://hn.algolia.com/?dateRange=pastMonth&page=0&prefix=false&query=Claude%20Code%E3%80%81Codex%20%E7%B1%BB%E7%BC%96%E7%A8%8B%20Agent%20%E6%AD%A3%E5%9C%A8%E6%94%B9%E5%86%99%E7%9F%A5%E8%AF%86%E5%B7%A5%E4%BD%9C%E8%87%AA%E5%8A%A8%E5%8C%96%20khazix-writer%20huashu-wechat-creation%20AI&sort=byDate&type=story",2026-06-15,,
9,,一个企业 AI 案例是否值得写，先看证据链而不是热度,hv-analysis / huashu-info-search,利他（教程）,企业 AI 案例,客户、预算、流程、失败成本和公开材料决定案例能否支撑深度内容。,"https://www.google.com/search?q=%E4%B8%80%E4%B8%AA%E4%BC%81%E4%B8%9A%20AI%20%E6%A1%88%E4%BE%8B%E6%98%AF%E5%90%A6%E5%80%BC%E5%BE%97%E5%86%99%EF%BC%8C%E5%85%88%E7%9C%8B%E8%AF%81%E6%8D%AE%E9%93%BE%E8%80%8C%E4%B8%8D%E6%98%AF%E7%83%AD%E5%BA%A6%20hv-analysis%20huashu-info-search%20AI%20after%3A2026-05-10&tbs=qdr:m
https://news.google.com/search?q=%E4%B8%80%E4%B8%AA%E4%BC%81%E4%B8%9A%20AI%20%E6%A1%88%E4%BE%8B%E6%98%AF%E5%90%A6%E5%80%BC%E5%BE%97%E5%86%99%EF%BC%8C%E5%85%88%E7%9C%8B%E8%AF%81%E6%8D%AE%E9%93%BE%E8%80%8C%E4%B8%8D%E6%98%AF%E7%83%AD%E5%BA%A6%20hv-analysis%20huashu-info-search%20AI%20when%3A45d&hl=zh-CN&gl=CN&ceid=CN%3Azh-Hans
https://www.youtube.com/results?search_query=%E4%B8%80%E4%B8%AA%E4%BC%81%E4%B8%9A%20AI%20%E6%A1%88%E4%BE%8B%E6%98%AF%E5%90%A6%E5%80%BC%E5%BE%97%E5%86%99%EF%BC%8C%E5%85%88%E7%9C%8B%E8%AF%81%E6%8D%AE%E9%93%BE%E8%80%8C%E4%B8%8D%E6%98%AF%E7%83%AD%E5%BA%A6%20hv-analysis%20huashu-info-search%20AI
https://hn.algolia.com/?dateRange=pastMonth&page=0&prefix=false&query=%E4%B8%80%E4%B8%AA%E4%BC%81%E4%B8%9A%20AI%20%E6%A1%88%E4%BE%8B%E6%98%AF%E5%90%A6%E5%80%BC%E5%BE%97%E5%86%99%EF%BC%8C%E5%85%88%E7%9C%8B%E8%AF%81%E6%8D%AE%E9%93%BE%E8%80%8C%E4%B8%8D%E6%98%AF%E7%83%AD%E5%BA%A6%20hv-analysis%20huashu-info-search%20AI&sort=byDate&type=story",2026-06-17,TRUE,32.2
10,,「Anthropic 5月企业AI订阅份额首超OpenAI，特朗普政…」是真趋势还是短期噪音，应该看哪三个证据,aihot,AI 产品观察,企业 AI 案例,围绕发布方、一手材料、客户场景和可复现能力做筛选，避免只追热点。,"https://techcrunch.com/2026/06/16/anthropics-latest-feud-with-the-trump-admin-may-actually-help-it-sales-data-suggests
https://www.google.com/search?q=%E3%80%8CAnthropic%205%E6%9C%88%E4%BC%81%E4%B8%9AAI%E8%AE%A2%E9%98%85%E4%BB%BD%E9%A2%9D%E9%A6%96%E8%B6%85OpenAI%EF%BC%8C%E7%89%B9%E6%9C%97%E6%99%AE%E6%94%BF%E2%80%A6%E3%80%8D%E6%98%AF%E7%9C%9F%E8%B6%8B%E5%8A%BF%E8%BF%98%E6%98%AF%E7%9F%AD%E6%9C%9F%E5%99%AA%E9%9F%B3%EF%BC%8C%E5%BA%94%E8%AF%A5%E7%9C%8B%E5%93%AA%E4%B8%89%E4%B8%AA%E8%AF%81%E6%8D%AE%20aihot%20AI%20after%3A2026-05-10&tbs=qdr:m
https://news.google.com/search?q=%E3%80%8CAnthropic%205%E6%9C%88%E4%BC%81%E4%B8%9AAI%E8%AE%A2%E9%98%85%E4%BB%BD%E9%A2%9D%E9%A6%96%E8%B6%85OpenAI%EF%BC%8C%E7%89%B9%E6%9C%97%E6%99%AE%E6%94%BF%E2%80%A6%E3%80%8D%E6%98%AF%E7%9C%9F%E8%B6%8B%E5%8A%BF%E8%BF%98%E6%98%AF%E7%9F%AD%E6%9C%9F%E5%99%AA%E9%9F%B3%EF%BC%8C%E5%BA%94%E8%AF%A5%E7%9C%8B%E5%93%AA%E4%B8%89%E4%B8%AA%E8%AF%81%E6%8D%AE%20aihot%20AI%20when%3A45d&hl=zh-CN&gl=CN&ceid=CN%3Azh-Hans
https://www.youtube.com/results?search_query=%E3%80%8CAnthropic%205%E6%9C%88%E4%BC%81%E4%B8%9AAI%E8%AE%A2%E9%98%85%E4%BB%BD%E9%A2%9D%E9%A6%96%E8%B6%85OpenAI%EF%BC%8C%E7%89%B9%E6%9C%97%E6%99%AE%E6%94%BF%E2%80%A6%E3%80%8D%E6%98%AF%E7%9C%9F%E8%B6%8B%E5%8A%BF%E8%BF%98%E6%98%AF%E7%9F%AD%E6%9C%9F%E5%99%AA%E9%9F%B3%EF%BC%8C%E5%BA%94%E8%AF%A5%E7%9C%8B%E5%93%AA%E4%B8%89%E4%B8%AA%E8%AF%81%E6%8D%AE%20aihot%20AI",2026-06-17,TRUE,
